timestamp;cpu;mem;disk;net_sent;net_recv
1765250896;17;28.6;6.1;178775646;169968115
1765250897;16.4;28.6;6.1;178890878;170019003
1765250898;16;28.6;6.1;179006207;170070284
1765250899;16.5;28.6;6.1;179119995;170120386
1765250900;16.5;28.6;6.1;179233828;170170488
1765250901;17.4;28.7;6.1;179347813;170220853
1765250902;17.2;28.8;6.1;179463268;170271827
1765250904;17.2;28.8;6.1;179578768;170322702
1765250905;16.3;28.8;6.1;179692781;170372864
1765250906;16.6;28.8;6.1;179809430;170424485
1765250907;17.2;28.8;6.1;179923533;170474802
1765250908;16.8;28.8;6.1;180024485;170524768
1765250909;17.1;28.8;6.1;180146203;170622820
1765250910;16.7;28.8;6.1;180213290;170626031
1765250911;16.5;28.8;6.1;180327528;170676193
1765250912;16.3;28.8;6.1;180443343;170727165
1765250913;16.6;28.9;6.1;180560323;170778316
1765250914;16.3;28.9;6.1;180676273;170829124
1765250915;16.4;28.9;6.1;180792268;170879928
1765250916;16.4;28.9;6.1;180906776;170930744
1765250917;16.6;28.9;6.1;181021329;170980846
1765250919;16.8;28.9;6.1;181137979;171032213
1765250920;16.7;28.9;6.1;181254154;171082765
1765250921;16;28.9;6.1;181302697;171131350
1765250922;15.6;28.9;6.1;181418833;171181739
1765250923;16.2;28.9;6.1;181533564;171231841
1765250924;16.6;29;6.1;181649944;171282207
1765250925;16.6;29.1;6.1;181766369;171333221
1765250926;16.7;29.1;6.1;181881305;171383443
1765250927;16.4;29.2;6.1;181997915;171434227
1765250928;16.8;29.2;6.1;182114518;171485109
1765250929;16.4;29.2;6.1;182231166;171536069
1765250930;16.4;29.2;6.1;182347859;171587083
1765250931;15.6;29.3;6.1;182463065;171637460
1765250932;15.8;29.4;6.1;182579848;171687904
1765250933;16;29.5;6.1;182695144;171738281
1765250935;16.6;29.5;6.1;182812296;171789269
1765250936;16.1;29.5;6.1;182927732;171839483
1765250937;16.7;29.6;6.1;183043213;171889697
1765250938;17.7;29.7;6.1;183161143;171942010
1765250939;17.3;28.4;6.1;183278194;171992718
1765250940;19.4;29.3;6.1;183362258;172045215
1765250941;18.7;29.3;6.1;183446797;172095080
1765250942;16.9;29.3;6.1;183563990;172145936
1765250943;17.9;29.4;6.1;183690258;172197618
1765250944;16.1;29.4;6.1;183806002;172247540
1765250945;18.1;29.5;6.1;183921843;172297907
1765250946;16.9;29.6;6.1;184039209;172349545
1765250947;16.7;29.7;6.1;184156849;172400193
1765250948;16.6;29.7;6.1;184272773;172450355
1765250949;16.7;29.7;6.1;184390274;172501087
1765250951;16.7;28.3;6.1;184506288;172551249
1765250952;16.4;28.3;6.1;184672517;172649493
1765250953;17.2;28.3;6.1;184697183;172651421
1765250954;16.1;28.3;6.1;184791454;172701658
1765250955;16.7;28.4;6.1;184954605;172798882
1765250956;16.7;28.4;6.1;185070903;172849148
1765250957;17.4;28.6;6.1;185140036;172852144
1765250958;16.5;28.7;6.1;185257924;172903080
1765250959;16.8;28.7;6.1;185423008;173001056
1765250960;17.7;28.7;6.1;185539395;173051114
1765250961;17;28.7;6.1;185610461;173054700
1765250962;17.1;28.8;6.1;185730411;173105794
1765250963;16.8;28.8;6.1;185890705;173202970
1765250964;17;28.9;6.1;185897026;173205832
1765250966;16.6;29.1;6.1;186016812;173256769
1765250967;17.1;29.1;6.1;186136686;173307850
1765250968;17.6;29.2;6.1;186255094;173359860
1765250969;17.4;29.2;6.1;186373666;173410567
1765250970;16.9;29.2;6.1;186493785;173462218
1765250971;16.6;29.2;6.1;186612439;173512813
1765250972;16.6;29.2;6.1;186732692;173564240
1765250973;17.3;29.2;6.1;186851480;173614895
1765250974;16.5;29.2;6.1;186970335;173665610
1765250975;17.3;29.2;6.1;187087452;173715772
1765250976;16.5;29.2;6.1;187204614;173765634
1765250977;14.8;29.2;6.1;187322465;173816118
1765250978;16.7;29.2;6.1;187444025;173867592
1765250979;16.2;29.2;6.1;187561750;173918024
1765250980;16;29.3;6.1;187664418;173967962
1765250982;16.9;29.3;6.1;187749712;174017674
1765250983;16.7;29.5;6.1;187845264;174067341
1765250984;16.6;29.6;6.1;187967290;174118085
1765250985;16;29.6;6.1;188084764;174168306
1765250986;16.5;29.6;6.1;188203064;174218960
1765250987;16.9;29.6;6.1;188321382;174269666
1765250988;17.3;29.6;6.1;188439767;174320312
